id,room_no,type,max_capacity,school_id/id
room_ub_330,330,classroom,30,school_ub
room_ub_331,331,classroom,30,school_ub
room_ub_341,341,classroom,30,school_ub
room_ub_349,349,classroom,30,school_ub
room_ub_400,400,classroom,30,school_ub
room_ub_403,403,classroom,30,school_ub
room_ub_405,405,classroom,30,school_ub
room_ub_406,406,classroom,30,school_ub
room_ub_407,407,classroom,30,school_ub
room_ub_408,408,classroom,30,school_ub
room_ub_409,409,classroom,30,school_ub
room_ub_422,422,classroom,30,school_ub
room_ub_423,423,classroom,30,school_ub
room_ub_424,424,classroom,30,school_ub
room_ub_425,425,classroom,30,school_ub
room_ub_442,442,classroom,30,school_ub
room_ub_443,443,classroom,30,school_ub
room_ub_447,447,classroom,30,school_ub
room_ub_449,449,classroom,30,school_ub
